"FID","SubGroupName","GroupName","AttackTime","AttackedTermiteColor","Outcome","VideoTimeStart","ExcludeYN","ReasonExclusion","DelayToAttack","DropYN","AttackedTermitePalatability"
18651,"BrownDB",NA,2019-01-09 00:03:17,"Green","Dropped",2019-01-09 00:03:05,0,NA,12,1,1
18651,"BrownDB",NA,2019-01-09 00:04:09,"Brown","Consumed",2019-01-09 00:03:05,0,NA,64,0,0
18652,"BrownDB",NA,2019-01-09 00:02:53,"Green","Consumed",2019-01-09 00:02:49,0,NA,4,0,1
18654,"GreenDB",NA,2019-01-09 00:02:53,"Brown","Consumed",2019-01-09 00:02:36,0,NA,17,0,1
18655,"BrownDB",NA,2019-01-09 00:02:16,"Brown","Dropped",2019-01-09 00:02:04,0,NA,12,1,0
18655,"BrownDB",NA,2019-01-09 00:04:00,"Brown","Consumed",2019-01-09 00:02:04,0,NA,116,0,0
18656,"BrownDB",NA,2019-01-09 00:21:29,"Green","Consumed",2019-01-09 00:02:15,0,NA,1154,0,1
18658,"GreenDB",NA,2019-01-09 00:05:16,"Brown","Consumed",2019-01-09 00:02:22,0,NA,174,0,1
18659,"BrownDB",NA,2019-01-09 00:03:08,"Brown","Consumed",2019-01-09 00:02:20,0,NA,48,0,0
18661,"GreenDB",NA,2019-01-09 00:10:35,"Green","Dropped",2019-01-09 00:02:06,0,NA,509,1,0
18661,"GreenDB",NA,2019-01-09 00:10:39,"Brown","Dropped",2019-01-09 00:02:06,0,NA,513,1,1
18662,"GreenDB",NA,2019-01-09 00:02:53,"Brown","Dropped",2019-01-09 00:02:03,0,NA,50,1,1
18662,"GreenDB",NA,2019-01-09 00:03:53,"Brown","Dropped",2019-01-09 00:02:03,0,NA,110,1,1
18662,"GreenDB",NA,2019-01-09 00:04:02,"Green","Dropped",2019-01-09 00:02:03,0,NA,119,1,0
18662,"GreenDB",NA,2019-01-09 00:04:18,"Brown","Dropped",2019-01-09 00:02:03,0,NA,135,1,1
18662,"GreenDB",NA,2019-01-09 00:04:20,"Brown","Dropped",2019-01-09 00:02:03,0,NA,137,1,1
18662,"GreenDB",NA,2019-01-09 00:04:32,"Brown","Dropped",2019-01-09 00:02:03,0,NA,149,1,1
18662,"GreenDB",NA,2019-01-09 00:04:33,"Brown","Dropped",2019-01-09 00:02:03,0,NA,150,1,1
18662,"GreenDB",NA,2019-01-09 00:04:34,"Brown","Dropped",2019-01-09 00:02:03,0,NA,151,1,1
18662,"GreenDB",NA,2019-01-09 00:04:37,"Brown","Dropped",2019-01-09 00:02:03,0,NA,154,1,1
18662,"GreenDB",NA,2019-01-09 00:04:55,"Brown","Dropped",2019-01-09 00:02:03,0,NA,172,1,1
18662,"GreenDB",NA,2019-01-09 00:04:57,"Brown","Dropped",2019-01-09 00:02:03,0,NA,174,1,1
18662,"GreenDB",NA,2019-01-09 00:05:03,"Brown","Dropped",2019-01-09 00:02:03,0,NA,180,1,1
18662,"GreenDB",NA,2019-01-09 00:05:30,"Brown","Dropped",2019-01-09 00:02:03,0,NA,207,1,1
18662,"GreenDB",NA,2019-01-09 00:05:48,"Brown","Dropped",2019-01-09 00:02:03,0,NA,225,1,1
18662,"GreenDB",NA,2019-01-09 00:05:51,"Brown","Dropped",2019-01-09 00:02:03,0,NA,228,1,1
18662,"GreenDB",NA,2019-01-09 00:05:53,"Green","Dropped",2019-01-09 00:02:03,0,NA,230,1,0
18662,"GreenDB",NA,2019-01-09 00:06:09,"Green","Dropped",2019-01-09 00:02:03,0,NA,246,1,0
18662,"GreenDB",NA,2019-01-09 00:06:13,"Green","Dropped",2019-01-09 00:02:03,0,NA,250,1,0
18662,"GreenDB",NA,2019-01-09 00:06:49,"Green","Dropped",2019-01-09 00:02:03,0,NA,286,1,0
18662,"GreenDB",NA,2019-01-09 00:07:32,"Brown","Dropped",2019-01-09 00:02:03,0,NA,329,1,1
18662,"GreenDB",NA,2019-01-09 00:07:56,"Green","Dropped",2019-01-09 00:02:03,0,NA,353,1,0
18662,"GreenDB",NA,2019-01-09 00:08:01,"Green","Dropped",2019-01-09 00:02:03,0,NA,358,1,0
18662,"GreenDB",NA,2019-01-09 01:05:58,"Brown","Dropped",2019-01-09 00:02:03,0,NA,3835,1,1
18662,"GreenDB",NA,2019-01-09 01:57:37,"Brown","Consumed",2019-01-09 00:02:03,0,NA,6934,0,1
18663,"BrownDB",NA,2019-01-09 00:02:11,"Brown","Dropped",2019-01-09 00:02:03,0,NA,8,1,0
18663,"BrownDB",NA,2019-01-09 00:02:20,"Green","Dropped",2019-01-09 00:02:03,0,NA,17,1,1
18663,"BrownDB",NA,2019-01-09 00:02:36,"Brown","Dropped",2019-01-09 00:02:03,0,NA,33,1,0
18663,"BrownDB",NA,2019-01-09 00:02:40,"Brown","Dropped",2019-01-09 00:02:03,0,NA,37,1,0
18663,"BrownDB",NA,2019-01-09 00:02:45,"Brown","Dropped",2019-01-09 00:02:03,0,NA,42,1,0
18663,"BrownDB",NA,2019-01-09 00:03:19,"Brown","Dropped",2019-01-09 00:02:03,0,NA,76,1,0
18663,"BrownDB",NA,2019-01-09 00:03:37,"Green","Consumed",2019-01-09 00:02:03,0,NA,94,0,1
18664,"BrownDB",NA,2019-01-09 00:03:04,"Green","Consumed",2019-01-09 00:02:06,0,NA,58,0,1
18665,"GreenDB",NA,2019-01-09 00:02:28,"Green","Consumed",2019-01-09 00:02:02,0,NA,26,0,0
18666,"GreenDB",NA,2019-01-09 00:02:46,"Green","Dropped",2019-01-09 00:02:26,0,NA,20,1,0
18666,"GreenDB",NA,2019-01-09 00:03:15,"Green","Dropped",2019-01-09 00:02:26,0,NA,49,1,0
18666,"GreenDB",NA,2019-01-09 00:03:27,"Green","Dropped",2019-01-09 00:02:26,0,NA,61,1,0
18666,"GreenDB",NA,2019-01-09 00:03:41,"Green","Consumed",2019-01-09 00:02:26,0,NA,75,0,0
18667,"BrownDB",NA,2019-01-09 00:02:29,"Green","Consumed",2019-01-09 00:02:20,0,NA,9,0,1
18668,"BrownDB",NA,2019-01-09 00:03:47,"Brown","Dropped",2019-01-09 00:02:21,0,NA,86,1,0
18668,"BrownDB",NA,2019-01-09 00:04:04,"Green","Consumed",2019-01-09 00:02:21,0,NA,103,0,1
18670,"GreenDB",NA,2019-01-09 00:03:05,"Green","Dropped",2019-01-09 00:02:54,0,NA,11,1,0
18670,"GreenDB",NA,2019-01-09 00:03:26,"Green","Dropped",2019-01-09 00:02:54,0,NA,32,1,0
18670,"GreenDB",NA,2019-01-09 00:03:32,"Green","Dropped",2019-01-09 00:02:54,0,NA,38,1,0
18670,"GreenDB",NA,2019-01-09 00:03:36,"Green","Dropped",2019-01-09 00:02:54,0,NA,42,1,0
18670,"GreenDB",NA,2019-01-09 00:03:39,"Brown","Consumed",2019-01-09 00:02:54,0,NA,45,0,1
18671,"BrownDB",NA,2019-01-09 00:46:22,"Brown","Dropped",2019-01-09 00:03:04,0,NA,2598,1,0
18671,"BrownDB",NA,2019-01-09 00:56:30,"Green","Consumed",2019-01-09 00:03:04,0,NA,3206,0,1
18672,"BrownDB",NA,2019-01-09 00:08:19,"Brown","Dropped",2019-01-09 00:02:58,0,NA,321,1,0
18672,"BrownDB",NA,2019-01-09 00:08:32,"Brown","Dropped",2019-01-09 00:02:58,0,NA,334,1,0
18672,"BrownDB",NA,2019-01-09 00:13:29,"Green","Consumed",2019-01-09 00:02:58,0,NA,631,0,1
18673,"GreenDB",NA,2019-01-09 00:03:26,"Brown","Dropped",2019-01-09 00:03:02,0,NA,24,1,1
18673,"GreenDB",NA,2019-01-09 00:03:29,"Brown","Consumed",2019-01-09 00:03:02,0,NA,27,0,1
18674,"BrownDB",NA,2019-01-09 00:03:06,"Brown","Dropped",2019-01-09 00:03:00,0,NA,6,1,0
18674,"BrownDB",NA,2019-01-09 00:04:35,"Green","Consumed",2019-01-09 00:03:00,0,NA,95,0,1
18675,"GreenDB",NA,2019-01-09 00:04:48,"Green","Consumed",2019-01-09 00:02:53,0,NA,115,0,0
18676,"BrownDB",NA,2019-01-09 00:02:48,"Green","Consumed",2019-01-09 00:02:42,0,NA,6,0,1
18677,"BrownDB",NA,2019-01-09 00:02:22,"Green","Consumed",2019-01-09 00:02:04,0,NA,18,0,1
18678,"GreenDB",NA,2019-01-09 00:02:47,"Brown","Consumed",2019-01-09 00:02:04,0,NA,43,0,1
18680,"GreenDB",NA,2019-01-09 00:02:24,"Green","Dropped",2019-01-09 00:02:12,0,NA,12,1,0
18680,"GreenDB",NA,2019-01-09 00:02:43,"Green","Consumed",2019-01-09 00:02:12,0,NA,31,0,0
18681,"BrownDB",NA,2019-01-09 00:04:32,"Green","Consumed",2019-01-09 00:02:06,0,NA,146,0,1
18682,"BrownDB",NA,2019-01-09 00:02:37,"Green","Consumed",2019-01-09 00:02:32,0,NA,5,0,1
18683,"BrownDB",NA,2019-01-09 00:02:46,"Brown","Dropped",2019-01-09 00:02:30,0,NA,16,1,0
18683,"BrownDB",NA,2019-01-09 00:03:16,"Brown","Dropped",2019-01-09 00:02:30,0,NA,46,1,0
18683,"BrownDB",NA,2019-01-09 00:04:17,"Green","Consumed",2019-01-09 00:02:30,0,NA,107,0,1
18684,"GreenDB",NA,2019-01-09 00:02:51,"Brown","Dropped",2019-01-09 00:02:05,0,NA,46,1,1
18684,"GreenDB",NA,2019-01-09 00:02:52,"Brown","Consumed",2019-01-09 00:02:05,0,NA,47,0,1
18685,"GreenDB",NA,2019-01-09 00:02:38,"Brown","Consumed",2019-01-09 00:02:24,0,NA,14,0,1
